Issaquah Food and Clothing Bank,179 1st Ave SE,Issaquah,(425) 392-4123,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/IssaquahFoodClothingBank.png?alt=media&token=6123f278-2639-466b-9a37-7bad5622c894 ,https://www.issaquahfoodbank.org/
Fish Of Vancouver,906 Harney Street,Vancouver,360-695-4903,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/FishOfVancouver.png?alt=media&token=d1248686-e78a-4e91-8ce0-41f64f9c3d14,https://fishvancouver.org/
Clark Co Adventist Comm Srvcs,3200 St Johns Blvd,Vancouver,360-695-8632,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/ClarkCountyCenter.png?alt=media&token=5e804ee4-0676-46a4-92ea-ff398a137919,https://clarkcountyacs.com/
St. Vincent De Paul of Vancouver,2456 NE Stapleton Road,Vancouver,(360) 694-5388,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/St.VincentDepaulVancouver.png?alt=media&token=477e0fa8-e02a-4ee5-885b-aaab10b30eff,https://svdpvancouverusa.org/
One Life,1801 Daniels Street,Vancouver,(360) 904-1273,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/OneLifeVancouver.png?alt=media&token=8bc64c37-fbf8-4d22-87d1-0d92fe515b8f,http://www.welcometoonelife.com/
Kent Food Bank & Emergency,515 W Harrison St #107,Kent,(253)5203550,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/KentFoodBank%26Emergency.png?alt=media&token=a56dfaba-93c4-43b1-8ec1-09915f621851,http://www.kentfoodbank.org/
Lutheran Church of Christ King ,1710 East 85th Street E,Tacoma,(253) 531-4530,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/LutheranChurchTacoma.png?alt=media&token=5127a0cc-2c05-42b1-a12a-25517600d644,https://www.lcckmidland.org/community
Yakima County Food Banks,1010 S Fair Ave,Yakima,509-969-4823,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/YakimaRotaryFoodBank.png?alt=media&token=f0986fb2-376c-45af-afa3-78bc8c895608,https://www.yakimarotaryfoodbank.org/yakima-county-food-banks.html
Nourish Pierce Country,1702 S 72nd Street,Tacoma,(253) 383-3164,https://firebasestorage.googleapis.com/v0/b/cse143-742dc.appspot.com/o/NourishPierceCty.png?alt=media&token=fc792f29-2f30-4a2d-a3b9-f1924a6089d7,https://nourishpc.org/
Browns Point United Methodist Church,5339 Browns Point Blvd NE,Tacoma,(253) 826-4654,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/BrownsPoint.jpg?alt=media&token=7d0a5c91-0f19-474b-92d8-25ee54e6a9f7,http://brownspointchurch.org/
Allen Food Pantry,1223 Martin Luther King Jr Way,Tacoma,(253) 627-6855,https://firebasestorage.googleapis.com/v0/b/polished-core-296600.appspot.com/o/AllenFoodPantry.jpg?alt=media&token=2c723cf6-6243-47cb-873c-77a2d335c8ea,https://allenfoodpantry.org/
Nourish Food Bank - Mason United Methodist Church,2710 North Madison Street,Tacoma,(253) 383-3164,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/NourishFoodBank.jpg?alt=media&token=39165142-2beb-4236-a6a5-93615f2a69be,https://nourishpc.org/
Snohomish Food Bank,1330 Ferguson Park Rd.,Snohomish,(360) 568-7993,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/SnohomishFoodBank.jpg?alt=media&token=2e9d66e0-013f-4ce2-9e23-df5f90245236,https://snohomishfoodbank.org/
Maltby Food Bank,21104 86th Ave SE,Snohomish,(360) 668-7900,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/MaltbyFoodBank.jpg?alt=media&token=26788195-e98c-49da-bed0-1b41f0d1b7b9,https://www.maltbyfoodbank.org/
Concern for Neighbors Food Bank,4700 228th Street SW,Mountlake Terrace,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/ConcernforNeighborsFoodBank.jpg?alt=media&token=4e1c8e62-52a8-4f19-bbdb-7ebbcc618a04,(425) 778-7227,https://www.concern4neighborsfb.org/
Cedarwood International,23010 66th Ave W,Mountlake Terrace,(425) 774-9300,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/CedarwoodInternational.jpg?alt=media&token=bf7e5d07-28cf-4798-a8f4-534f88d0c17f,https://www.facebook.com/cedarwoodinternational/
St Vincent Depaul Food Bank - Pasco,115 W Lewis St,Pasco,(509) 544-9315,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/StVincentDePaulPasco.jpg?alt=media&token=0d71ab78-0eb7-4ed7-b8c2-16daa43ad474,https://www.facebook.com/svdppasco.org/
Second Harvest Food Bank Tri-Cities - Pasco,5825 Burlington Loop,Pasco,(509) 545-0787,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/SecondHarvestFoodBank.jpg?alt=media&token=3d46936b-8456-4ff7-88ba-89fb3d2f2ad2,https://2-harvest.org/
Sozo Food Bank,120 W Railroad Avenue,Kennewick,(509) 582-9064,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/SozoFoodBank.jpg?alt=media&token=859cb89f-e4c8-4e5c-adc9-17f1c8dab3d1,https://www.facebook.com/sozofoodbank/
Fish of Cowlitz County,1526 Commerce Avenue,Longview,(360) 636-1100,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/FishofCowlitzCounty.jpg?alt=media&token=835ebfe1-892c-468d-9a08-4d830794847a,https://fishofcowlitzcounty.org/
Kelso Resource Center ,351 Three Rivers Drive,Kelso,(360) 747-7240,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/KelsoResourceCenter.jpg?alt=media&token=8cf72012-6a45-4488-8e59-71e4ce6e51f5,http://southkelsonians.weebly.com/kelso-resource-center.html
Kalama Helping Hand,191 Cloverdale Road,Kalama,(360) 673-2814,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/KalamaHelpingHand.jpg?alt=media&token=fda8d308-1d26-4433-b6e0-8a23f637915e,https://www.homelessshelterdirectory.org/cgi-bin/id/foodbank.cgi?foodbank=9009
St Vincent De Paul Longview,1222 Baltimore Street,Longview,(360) 577-0662,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/StVincentDePaulLongview.jpg?alt=media&token=52400d75-f28c-45eb-83a8-5ed15a1c0be2,https://www.facebook.com/Food-Bank-St-Vincent-Depaul-796423620475427/
Faith Center,1209 Minor Road,Kelso,(360) 577-0620,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/FaithCenter.jpg?alt=media&token=244ccc87-50b7-4839-bf81-0b097d972cfe,https://www.facebook.com/FaithCenterFoodBank/
Salvation Army Longview,1639 10th Avenue,Longview,(360) 423-3992,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/SalvationArmyLongview.jpg?alt=media&token=e81c28eb-4d69-4c76-9f64-658a99e7cb09,https://longview.salvationarmy.org/
Des Moines Area Food Bank - State of Washington,22225 9th Ave. South,Des Moines,(206) 878-2660,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/DesMoinesAreaFoodBank.jpg?alt=media&token=896679ba-960b-47d9-bb08-3074e05444ec,http://www.myfoodbank.org/
Bellingham Food Bank,1824 Ellis St,Bellingham,(360) 676-0392,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/BellinghamFoodBank.jpg?alt=media&token=605d187f-a91e-48ef-b8d0-0c1e432330a2,https://www.bellinghamfoodbank.org/
Highline Area Food Bank,18300 4th Avenue South,Burien,(206) 433-9900,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/HighlineAreaFoodBank.jpg?alt=media&token=60edd7ea-b752-48e0-bb87-04049290bf9f,https://highlineareafoodbank.org/
Thurston County Food Bank,220 Thurston Ave NE,Olympia,(360) 352-8597,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/ThurstonCountyFoodBank.jpg?alt=media&token=0215aada-43da-4b35-bcb2-6d69610d795e,https://thurstoncountyfoodbank.org/
Hopelink - Shoreline Food Bank,17837 Aurora Ave N,Shoreline,(206) 440-7300,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/Hopelink_Shoreline.jpg?alt=media&token=f1d7aa87-3665-40fd-8233-4cbc762256ad,https://www.hopelink.org/location/shoreline-food-bank-and-emergency-services
Adventist Community Service Center,1029 Puget Street NE,Olympia,(360) 943-1518,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/AdventistCommunityServiceCenter.jpg?alt=media&token=767fa846-8a42-40ea-99e1-35684e8206d0,https://www.communityservices.org/acs-near-you
South Thurston United Friends Food Bank,18214 Corvallis St SW,Rochester,(360) 273-5891,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/SouthThurstonUnitedFriends.jpg?alt=media&token=39295e5e-996d-4572-904f-5887222a53e9,https://www.homelessshelterdirectory.org/cgi-bin/id/foodbank.cgi?foodbank=687
St. Andrew's Episcopal Church ,7410 South 12th Street,Tacoma,(253) 383-3164,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/St.AndrewsEpiscopalChurch.jpg?alt=media&token=da81bea5-6edd-4f73-b91f-3eea09bdef02,https://www.saintandrewsseattle.org/
Valley Food Bank - Spokane,10814 E Broadway Ave,Spokane,(509) 927-1153,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/ValleyFoodBank.jpg?alt=media&token=aeb387ef-1ba5-4ed9-98a0-c3bac63a9aff,https://www.svpart.org/food-bank
Sky Valley Food Bank,233 Sky River Pkwy,Monroe,(360) 794-7959,https://firebasestorage.googleapis.com/v0/b/foodfinder-385ba.appspot.com/o/SkyValleyFoodBank.jpg?alt=media&token=6eff9594-bacd-48e9-a1b0-9b60d029bb39,https://svfoodbank.org/
